txn_id,date,inn,side,amount,purpose,iforest_score_credit
64262e98758c57982308d6d8ad8f9b040b5bad4071c16dedf353edc09957b11a,2019-06-05,ca3891c167141f4d,credit,82.76,взносы на обязательное страхование от несчастных случаев. регистрационный номер в фсс inn_f24b52802750 за май 2019г,0.9999999973996568
94fe32c56ee14bc51fa44c6ab817b71d31d69343545bcb5aaf74f2046be8d06d,2019-07-09,eed8b1f54ed4366c,credit,112.32,оплата по сч.№02/944 от 30.06.19г реактивная энергия сумма 112-32 без налога (ндс),0.9999999973267233
a862a5927790484c4e1258197e68bf43da93b71f1571615969295c8d15961e38,2021-10-22,6290b8d67943ece5,credit,16860.64,расчет уволнение 21г для зачисления на счет таранова константина анатольевича сумма 16860-64 без налога (ндс),0.9999999971875436
1377c462bf8674db6455b4e9705eb5fe051789bb84d71052fa8ff1fa9c333792,2020-02-28,ac31ae518119510a,credit,45000.0,оплата по счету № 50 от date_d0e5c2a23d6d инсталляционные работы по адресу:г.южно-сахалинск ул.емельянова д.2/3 сумма 45000-00 без налога (ндс),0.9999999971874801
3b9c158d748594648b541ee5a1bf68a33e7119222a7f12f90c78abb92ee9f3c2,2019-12-25,a4bb2adbd377d7b6,credit,16527.0,оплата по сч.№ 4995 от 19.12.19г монтаж и наладка тревожной кнопки по договору №149 от 19.12.19 сумма 16527-00 без налога (ндс),0.9999999971420291
ebdf680a3a9eb27d46fbbb01296ea05c2ad6f1e1efcde2d59d6ad47b21e9197e,2020-05-20,035fab081fc0922f,credit,1764.35,заработная плата за первую половину мая 20г для зачисления на счет ермошкина михаила юрьевича заработная плата за май 2020 г. сумма 1764-35 без налога (ндс),0.9999999970735561
1b8da2d1ffae4f0412ebdec3c18f3a37d76e09df7198c950a05e2a60652ce763,2021-06-21,0c22384d93788af3,credit,61065.01,арендная плата за землю по договору №13866 от 26.02.18 за период с 1 апреля по 30 мая 2021 г (вкл).,0.9999999970163925
a68a0f7172594acb85b9f7bfece1a2bf9e521fbcd77ed22a09b7c31000f29940,2023-01-01,8d9e0be733f77f1c,credit,5.84,комиссия за ведение счета 'acc_ded93f97f389' от '02/12/2014' за период с '01/12/2022' по '31/12/2022' за 31 дней. ндс не облагается,0.999999996860429
84efe6f8c3e6449eeb7a8c0926ec1ef3da7e5d7e778710eac63d63960c8d16aa,2020-03-12,cf603eadad6f36c6,credit,526.96,за охрану обьекта за январь 2020года,0.9999999967529394
4db4ad205430ea684f0a5390b2f6802a73976d648d47b4702b52133b12b11b2e,2021-03-31,480b91025f5be8d0,credit,400000.0,частичный возврат займа по договору №2-ои/150917 от date_6948caa8d709 сумма 400000-00 без налога (ндс),0.9999999966649296
cd7f202c2a7a5cccf298f8d2659f484918bb2d03c0d9ed908db62da7f4e9d0e6,2023-12-08,d877722ca4e40f98,credit,4041209.0,оплата по сч. 70 от date_205f0adc40bf. сумма 4041209-00 в т.ч. ндс(20%) 673534-83,0.9999999966007027
f31d5d7113d2c3e0fc4d1c74da4d1c24e4c133f9543f52f07826e590e5c5c169,2021-03-04,6931e23e98703aa9,credit,100000.0,оплата по счету № 8 от date_b42a3a2ef047 сумма 100000-00 в т.ч. ндс (20%) 16666-67,0.9999999965839241
21ecea8d118fba84c62f6df396fb749a513e0d306f0675c7b391531e47360eb6,2021-04-29,225acb9ed4f34af6,credit,4000.0,перечисление подотчетной суммы сумма 4000-00 без налога (ндс),0.9999999963306521
58e9631079ec76f82b115c302652705115587ef2451c53353ffbc1bf124ccebe,2020-12-09,365a9e654bc3d301,credit,95000.0,оплата по счету № 65 от date_6a974420a65b электромонтажные работы сумма 95000-00 без налога (ндс),0.9999999962245625
fcbb1d447f7943666f6f1a80454ce44113226ab537722838a3039441a4a9c83e,2022-04-18,85ee5df9d37a27a6,credit,30000.0,оплата по сч.№ 05 от 18.02.21 г частичная оплата авторский надзор за холодсервис согласно письма №46 от 18.12.18г сумма 30000-00 без налога (ндс),0.9999999961836719
fa2ea111b354f1c265d155b487a3d3e230dd929f183973a31117e89bc45c1248,2022-08-22,1b21a7645f64d170,credit,800.0,"государственная пошлина за государственную регистрацию юридического лица, физических лиц в качестве индивидуальных предпринимателей, изменений, вносимых в учредительные документы юридического лица",0.99999999613234
ab42797180044a0d861e4938ab70d277c6d88812e410adb55f1b02cd9ec9e733,2021-11-02,80799e1a6646b6dc,credit,58246.0,земельный налог за 3 квартал 2021 года,0.9999999960949254
6c9147c4eda428e88fdea3c2b3c739ad2d9ee187152ad7a7af511381fda0f959,2020-06-04,917804652432403b,credit,15331.26,ид взыск д.с. в пользу __ по постобвз №64241110298203 от date_cfba05994667 выд. мосп по ваш уфссп россии по сахалинской области по и/п/делу 46925/20/65024-ип от date_1976d2635e77,0.9999999960534381
b38942be5efe0b49e6891354574615a1822e90655a70bd5a53d194e1c492730f,2021-11-16,41face6c4b94dd88,credit,140000.0,оплата по счету № 416 от 31.10.21 услуги физ.охраны за октябрь 2021г частичная оплата сумма 140000-00 без налога (ндс),0.9999999960263157
d6429375bfcf028610d7e6c178bf799335d278c792090a7585043284454bde99,2019-02-13,a982dff7a672f998,credit,1000.0,оплата по счету № 23939431 от date_b8b80c6b869a услуги связи л/с 23939431 сумма 1000-00 в т.ч. ндс (20%) 166-67,0.9999999960206672
60e8986da26835bea143c9498b0aa2ca4c46f9f79d6f90fb9cc316e50fd74d7e,2021-08-19,ed18d013d231f2d0,credit,13500.0,оплата по счету № 342 от 22.07.21г услуги крана сумма 13500-00 без налога (ндс),0.9999999950137911
cccd91b965226d1f5b926af12f178eece7e821e768bda5f609665c1f4d48aff6,2020-12-21,1d83fd5f5fefc19f,credit,2189587.9,оплата по договору 02-скк/тп/17 от date_88bd5426f2c8 теплоснабжение сумма 2189587-90 в т.ч. ндс (20%) 364931-32,0.9999999946604801
bf2841e6818205712216b8ad225a6eaa961c2fab61bfb74953294a2262d134fa,2021-06-17,032f0b4d2498f263,credit,32465.75,оплата процентов за период с 01 по 16.06.21(вкл) по договору процентного денежного займа №1 от 17.12.20г сумма 32465-75 без налога (ндс),0.9999999938457381
