txn_id,date,inn,side,amount,purpose,iforest_score_debit,ts_score,score_max,score_wavg,score_rank,final_score
a65a5b2c4af5901c25570ef69132d12c17084f9bc877e225c5c9c5b0da743bda,2019-07-30,6ef5667d7851dcbc,debit,1000000.0,перевод денежных средств по договору № ли-2/060519 от 06.05.2019г. сумма 1000000-00 без налога (ндс),0.12573005591850966,1.0,1.0,0.4754380335511058,0.6875,1.0
a98f10ac44f3ba9de428bb43e213b098301ea59c0810ff45b6a6faac3fa4ee2c,2020-10-07,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.5289167613880699,1.0,1.0,0.7173500568328419,0.8583333333333334,1.0
811cd17b4ee37cc1abae9dd1a96ea53d6974c1f4babd3f16130728da23d29f15,2020-09-18,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.32056023735270606,1.0,1.0,0.5923361424116237,0.7083333333333334,1.0
7e29c6222dd3d19c7fb653a2c5d3128475a0064a9b88a06a75da350dc2ea715c,2020-10-23,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.5036491988878644,1.0,1.0,0.7021895193327187,0.8416666666666667,1.0
195872a901349f446a6c15a81e84c8a625f3326094819c6b2d4a4995ca25726f,2020-10-26,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.4243637773621488,1.0,1.0,0.6546182664172893,0.7833333333333333,1.0
c6528ae6daed89aa1be769bde8a57f18782dbe8210432c85474c64b2f609f0e9,2020-11-02,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.30363900462517895,1.0,1.0,0.5821834027751074,0.7,1.0
3d140dd21fa6538d00b54152f1d51991c19bb91067568ad87c436c8e77b0e0cc,2020-11-03,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.20841250797760738,1.0,1.0,0.5250475047865645,0.6166666666666667,1.0
60bb8fe63991c68ed8a8f39d66975d85c5d53adbb5a6bef55f5d08c56d55234f,2020-11-05,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.2196149512748558,1.0,1.0,0.5317689707649135,0.6416666666666667,1.0
46e0cb5acee610f12de7ef7df6d014abfdcb5cbd170fa996345513009748cf20,2020-11-06,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.16977048885029272,1.0,1.0,0.5018622933101756,0.6,1.0
2005a5ba6c4038a8b6cfe85a3597305a3b4122fccf53d899e3e247c8a83058b1,2020-09-09,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.45712507658591695,1.0,1.0,0.6742750459515502,0.825,1.0
1d6c40807a4ed1d8b45265e950c908f3fc083f18d8d3ac67d8a19776cd4802f4,2020-11-09,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.2132087330887426,1.0,1.0,0.5279252398532456,0.625,1.0
3d66792306d77165460848f4e5e30c65cd1080b29c211d58e1bf0a51b3d7324e,2020-09-08,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.5044655112506633,1.0,1.0,0.702679306750398,0.8500000000000001,1.0
54e0c3d14ca024112ecba40cd77743a6e53da78b13804a8c04698353a76451b7,2020-11-10,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.1792691922603247,1.0,1.0,0.5075615153561949,0.6083333333333334,1.0
4552d27994105df13dd169c16a286d22fab4d331a5bf8d706f64073a8bdad9b6,2020-11-18,659207c64fee1c66,debit,200000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 200000-00 без налога (ндс),0.27544744169203145,1.0,1.0,0.5652684650152189,0.6833333333333333,1.0
622b06ae0738805a51145a31ea7403a470e4b07974f9fcb3660fe925a43fb1ed,2019-07-30,6ef5667d7851dcbc,debit,1200000.0,перевод денежных средств по договору № ли-2/060519 от 06.05.2019г. сумма 1200000-00 без налога (ндс),0.6534708905746202,1.0,1.0,0.7920825343447722,0.8875,1.0
59cbc42a0dcb21151f50ac538946dd16c9f38e14862febd6952d7f4e7d419a87,2019-09-16,ad57c94e5b8df8f6,debit,916000.0,перевод денежных средств по договору № чи-2/010319 от 01.03.2019г. сумма 916000-00 без налога (ндс),0.8636592774614585,1.0,1.0,0.9181955664768752,0.9239130434782609,1.0
9bed5f6a6f2860a53a7bc7ded5f32e3da4959ca1a14406d2217a53942459fdbc,2019-10-10,ad57c94e5b8df8f6,debit,500000.0,перевод денежных средств по договору № чи-2/010319 от 01.03.2019г. сумма 500000-00 без налога (ндс),0.9999999968213871,1.0,1.0,0.9999999980928322,0.9891304347826086,1.0
cb6c14ddfd66de033021a3cd3433ebf3343514356ab6af27498c92dcb226e293,2021-01-18,5ae9eeb0d29bc5c0,debit,1000000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 1000000-00 без налога (ндс),0.9999999972630507,0.0,0.9999999972630507,0.5999999983578304,0.7558139534883721,0.9999999972630507
b860707a3e5b516a1b6ae89329d51e47e3faced59aaae56072ed1539d07d5ba6,2021-11-22,9d8f54ae3b88911b,debit,836.96,возврат излишне уплаченая сумма сумма 836-96 без налога (ндс),0.9999999971779763,0.08238636135622958,0.9999999971779763,0.6329545428492775,0.859375,0.9999999971779763
fc6492a121cc21ae630ce6f5646c9e6a0c70f31cfd1310d616663d573ce4f6d3,2021-12-02,nan,debit,1000000.0,оплата по договор_15b9b24e626e займа №34 от 01.10.2021г. за займодавца хо сон дя,0.9999999967796083,0.0,0.9999999967796083,0.5999999980677649,0.7647058823529411,0.9999999967796083
4b45e9f893971edcaf10ede05b403119a072799bbf0c1ce03dc31a97aaafac09,2019-04-22,6ef5667d7851dcbc,debit,2000000.0,перевод денежных средств по договору № ли-1/220419 от 22.04.2019г. сумма 2000000-00 без налога (ндс),0.9999999966660382,0.0,0.9999999966660382,0.5999999979996229,0.7375,0.9999999966660382
9036a7b379e57325be6f4f2e57a7470b547e49af0f6ea557d5c54ddb627aaaf6,2024-02-02,d877722ca4e40f98,debit,157000.0,перевод средств между счетами сумма 157000-00 без налога (ндс),0.9999999965703561,0.0,0.9999999965703561,0.5999999979422136,0.7501151012891345,0.9999999965703561
975750bc636e2311c9e406a2f49c8cd1d51a6e32d22531c557f02ec01dda7479,2022-05-24,8d9e0be733f77f1c,debit,210000.0,взнос в уставной капитал от хо сон дя,0.9999999965511721,0.0,0.9999999965511721,0.5999999979307032,0.7511111111111111,0.9999999965511721
