date,debit_inn,credit_inn,amount,purpose,txn_risk_score,txn_anomaly_flag
2019-01-09,d877722ca4e40f98,8d9e0be733f77f1c,10.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №1 (3000000 rur ) от 09/01/19. без ндс,0.9999980058502028,1
2021-05-20,8d9e0be733f77f1c,d877722ca4e40f98,160000.0,"<si>прием ден. нал. через ус 60007270 date_8004a826e60a 00:08:27 вноситель аман вадим владимирович(170091651) 14, займы займ от учеридителя хо сон дя",0.9999980058502028,1
2021-05-19,41face6c4b94dd88,d877722ca4e40f98,6336.0,оплата по счету № 3 от 17.05.2021г. штраф сумма 6336-00 без налога (ндс),0.9999980058502028,1
2021-05-20,d877722ca4e40f98,8d9e0be733f77f1c,31.58,"комиссия за перечисление средств со сч. юл на сч.фл (в т.ч. при закрытии счета), (оборот до 150 тыс. руб) по дог. рко №acc_ded93f97f389 от '02/12/2014'. за документы: документ(ы):; от 20/05/21 №№: 155 (210",0.9999980058502028,1
2021-05-20,d877722ca4e40f98,8d9e0be733f77f1c,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №154 (160000 rur ) от 20/05/21 без ндс",0.9999980058502028,1
2021-05-20,d877722ca4e40f98,8d9e0be733f77f1c,480.0,комиссия за прием наличных денежных средств через банкомат. документ(ы): №32 (160000 rur ) от 20/05/21. без ндс,0.9999980058502028,1
2021-05-20,d877722ca4e40f98,035fab081fc0922f,2105.28,заработная плата за первую половину мая 21 г для зачисления на счет ермошкина михаила юрьевича сумма 2105-28 без налога (ндс),0.9999980058502028,1
2021-05-20,d877722ca4e40f98,6290b8d67943ece5,4210.56,заработная плата за первую половину мая 21г для зачисления на счет таранова константина анатольевича сумма 4210-56 без налога (ндс),0.9999980058502028,1
2021-05-20,d877722ca4e40f98,8d9e0be733f77f1c,19473.48,аванс по заработной плате по реестру №11 от date_8004a826e60a в соответствии с договором 50356798 от date_eb8c294d74c6,0.9999980058502028,1
2021-05-20,d877722ca4e40f98,1d83fd5f5fefc19f,160000.0,оплата по договору № 3510 от date_f300508e7393 теплоэнергия по с/ф тэ000001385 от 31.01.21г сумма 160000-00 в т.ч. ндс (20%) 26666-67,0.9999980058502028,1
2021-05-21,d877722ca4e40f98,8d9e0be733f77f1c,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №157 (2329840.38 rur ) от 21/05/21 без ндс",0.9999980058502028,1
2019-01-09,d877722ca4e40f98,6931e23e98703aa9,3000000.0,оплата по счету № 28 от date_9f241b636025 по договору №3-тор от 19.05.18г аванс сумма 3000000-00 в т.ч. ндс (18%) 457627-12,0.9999980058502028,1
2021-05-21,d877722ca4e40f98,8d9e0be733f77f1c,54.6,оплата комиссии за оказание услуг по зачислению денежных средств. за период с date_f5e8ddb0295d по date_8004a826e60a. договор от date_eb8c294d74c6 № 50356798. ндс не облагается.,0.9999980058502028,1
2021-05-21,d877722ca4e40f98,b7f7935acecc2c89,2329840.38,выкуп земельного участка с кадастровым номером 65:01:0601006:1781 по договор_aa2bdccd4f22 купли -продажи земельного участка,0.9999980058502028,1
2021-05-21,5ae9eeb0d29bc5c0,d877722ca4e40f98,2350000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 2350000-00 без налога (ндс),0.9999980058502028,1
2021-05-24,d877722ca4e40f98,8d9e0be733f77f1c,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №158 (3000 rur ) от 24/05/21 без ндс",0.9999980058502028,1
2021-05-24,d877722ca4e40f98,8d9e0be733f77f1c,383.59,пособие по временной нетрудоспособности (больничные) по реестру №12 от date_70f27e0075c0 в соответствии с договором 50356798 от date_eb8c294d74c6,0.9999980058502028,1
2021-05-24,d877722ca4e40f98,ac31ae518119510a,3000.0,оплата по счету № 61248 от 24.05.21г за май 21г сумма 3000-00 без налога (ндс),0.9999980058502028,1
2021-05-25,d877722ca4e40f98,7b6d655993f0d2ed,22000.0,госпошлина за государственную регистрацию прав,0.9999980058502028,1
2021-05-31,d877722ca4e40f98,8d9e0be733f77f1c,0.77,оплата комиссии за оказание услуг по зачислению денежных средств. за период с date_a60f22934e30 по date_9f87cfd44091. договор от date_eb8c294d74c6 № 50356798. ндс не облагается.,0.9999980058502028,1
2021-05-18,8d9e0be733f77f1c,d877722ca4e40f98,155000.0,"<si>прием ден. нал. через ус 60036386 date_b5af54dbd25c 00:38:54 вноситель аман вадим владимирович(170091651) 14, займы займ от учеридителя хо сон дя",0.9999980058502028,1
